program_id,program_name,deskripsi,prospek_kerja,mata_kuliah_unggulan,durasi_studi,jenjang,kelompok_prodi,akreditasi_umum,top_kampus_prodi,est_biaya,list_kampus_prodi
11,Ilmu Hukum,"Mempelajari sistem hukum, perundang-undangan, serta penerapan norma dan aturan dalam kehidupan berbangsa, bernegara, dan bermasyarakat.","Pengacara, Hakim, Jaksa, Notaris, Legal Counsel, Konsultan Hukum","Pengantar Ilmu Hukum, Hukum Pidana, Hukum Perdata, Hukum Tata Negara, Hukum Internasional",4 tahun (S1),S1,Hukum / Soshum,Unggul / A,"Universitas Indonesia (UI), Universitas Gadjah Mada (UGM), Universitas Airlangga (UNAIR)",Rp 5.000.000 - Rp 13.000.000,"UI, UGM, UNAIR, Universitas Padjadjaran (UNPAD), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB), Universitas Sebelas Maret (UNS)"
12,Ilmu Komunikasi,"Mempelajari proses penyampaian pesan secara efektif melalui berbagai media, termasuk public relations, jurnalistik, dan penyiaran.","Public Relations, Jurnalis, Broadcaster, Copywriter, Social Media Specialist, Event Organizer","Teori Komunikasi, Jurnalistik Dasar, Public Speaking, Komunikasi Antar Budaya, Manajemen PR",4 tahun (S1),S1,Soshum / Sosial Ilmu Politik,Unggul / A,"Universitas Indonesia (UI), Universitas Gadjah Mada (UGM), Universitas Airlangga (UNAIR)",Rp 5.000.000 - Rp 13.000.000,"UI, UGM, UNAIR, Universitas Padjadjaran (UNPAD), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB), Universitas Sebelas Maret (UNS)"
13,Informatika,"Fokus pada pengembangan perangkat lunak, ilmu komputer, algoritma, kecerdasan buatan, dan pengelolaan data/informasi berbasis komputasi.","Software Engineer, Data Scientist, Web Developer, System Analyst, AI/ML Engineer","Algoritma & Struktur Data, Rekayasa Perangkat Lunak, Kecerdasan Buatan, Basis Data, Jaringan Komputer",4 tahun (S1),S1,Teknik / Sains dan Teknologi,Unggul / A,"Institut Teknologi Bandung (ITB), Universitas Gadjah Mada (UGM), Universitas Indonesia (UI)",Rp 6.000.000 - Rp 15.000.000,"ITB, UGM, UI, Institut Teknologi Sepuluh Nopember (ITS), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB), Universitas Hasanuddin (UNHAS)"
14,Keperawatan,"Mempelajari ilmu dan praktik pemberian asuhan keperawatan kepada individu, keluarga, maupun masyarakat dalam keadaan sakit atau sehat.","Perawat Rumah Sakit, Perawat Klinik, Home Care Nurse, Manajer Kesehatan, Pendidik Klinis","Anatomi Fisiologi, Keperawatan Medikal Bedah, Keperawatan Anak, Farmakologi, Etika Keperawatan",3-4 tahun (D3/S1),D3 / S1,Kesehatan / Medis,Unggul / B,"Universitas Indonesia (UI), Universitas Padjadjaran (UNPAD), Universitas Gadjah Mada (UGM)",Rp 6.000.000 - Rp 14.000.000,"UI, UNPAD, UGM, Universitas Airlangga (UNAIR), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB)"
15,Manajemen,"Mempelajari pengelolaan, perencanaan, dan pengorganisasian sumber daya perusahaan (SDM, keuangan, pemasaran, dan operasional) untuk mencapai tujuan bisnis.","Manajer Perusahaan, HRD, Analis Bisnis, Marketing Executive, Entrepreneur","Manajemen Pemasaran, Manajemen Keuangan, Perilaku Organisasi, Manajemen SDM, Manajemen Strategik",4 tahun (S1),S1,Ekonomi dan Bisnis,Unggul / A,"Universitas Indonesia (UI), Universitas Gadjah Mada (UGM), Universitas Airlangga (UNAIR)",Rp 5.000.000 - Rp 13.000.000,"UI, UGM, UNAIR, Universitas Padjadjaran (UNPAD), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB), Universitas Sebelas Maret (UNS)"
16,Manajemen Pajak,"Fokus pada administrasi, perencanaan, perhitungan, penyetoran, dan pelaporan pajak berdasarkan peraturan perundang-undangan perpajakan.","Konsultan Pajak, Ahli Pajak (Tax Specialist), Pegawai Ditjen Pajak, Auditor Pajak, Akuntan Pajak","Ketentuan Umum Perpajakan, PPh (Pajak Penghasilan), PPN & PPnBM, Akuntansi Perpajakan, Pemeriksaan Pajak",3-4 tahun,D3 / D4 / S1,Ekonomi dan Bisnis / Vokasi,Unggul / A / B,"Politeknik Keuangan Negara STAN, Universitas Indonesia (UI), Universitas Airlangga (UNAIR)",Rp 4.500.000 - Rp 10.500.000,"PKN STAN, UI, UNAIR, Universitas Brawijaya (UB), Politeknik Negeri Bandung (POLBAN), Universitas Diponegoro (UNDIP)"
17,Manajemen Perdagangan,"Mempelajari strategi bisnis, logistik, rantai pasok (supply chain), serta aktivitas ekspor-impor dalam industri perdagangan.","Manajer Ritel, Spesialis Ekspor Impor, Supply Chain Analyst, Merchandiser, Analis Perdagangan","Manajemen Ritel, Manajemen Logistik, Perdagangan Internasional, Ekspor Impor, Hukum Perdagangan",3-4 tahun,D3 / D4 / S1,Ekonomi dan Bisnis / Vokasi,Baik Sekali / B,"Politeknik Keuangan Negara STAN, Universitas Indonesia (UI), Universitas Airlangga (UNAIR)",Rp 4.500.000 - Rp 10.500.000,"PKN STAN, UI, UNAIR, Universitas Brawijaya (UB), Politeknik Negeri Bandung (POLBAN), Universitas Diponegoro (UNDIP)"
18,Manajemen Perhotelan,"Mempelajari operasional hotel, manajemen tata graha (housekeeping), tata boga, kantor depan (front office), dan pelayanan tamu (hospitality).","Hotel Manager, Front Office Manager, Event Manager, F&B Manager, Konsultan Hospitality","Pengantar Hospitalitas, Manajemen Food & Beverage, Manajemen Front Office, Housekeeping, Service Excellence",3-4 tahun,D3 / D4 / S1,Pariwisata / Hospitalitas,Unggul / A / B,"Politeknik Pariwisata NHI Bandung, Universitas Gadjah Mada (UGM), Universitas Udayana (UNUD)",Rp 5.000.000 - Rp 12.000.000,"Poltekpar NHI Bandung, UGM, UNUD, Universitas Brawijaya (UB), Universitas Pendidikan Indonesia (UPI), Politeknik Negeri Bali"
19,Pariwisata,"Mempelajari perencanaan, pengelolaan, dan pengembangan destinasi wisata, serta industri perjalanan dan layanan rekreasi.","Tour Manager, Manajer Destinasi Wisata, Pegawai Kemenparekraf, Travel Vlogger, Perencana Tur (Tour Planner)","Geografi Pariwisata, Perencanaan Destinasi, Manajemen Perjalanan Wisata, Ekowisata, Sosiologi Pariwisata",4 tahun (S1),S1 / D4,Pariwisata,Unggul / A / B,"Politeknik Pariwisata NHI Bandung, Universitas Gadjah Mada (UGM), Universitas Udayana (UNUD)",Rp 5.000.000 - Rp 12.000.000,"Poltekpar NHI Bandung, UGM, UNUD, Universitas Brawijaya (UB), Universitas Pendidikan Indonesia (UPI), Politeknik Negeri Bali"
20,Pendidikan Agama Islam,"Mempelajari ilmu keislaman, pedagogi, dan metode pengajaran untuk menjadi pendidik agama Islam di instansi pendidikan maupun masyarakat.","Guru/Dosen PAI, Penyuluh Agama, Peneliti Pendidikan Islam, Staf Kemenag, Content Creator Islami","Ulumul Quran & Hadis, Ilmu Fiqih, Sejarah Peradaban Islam, Metodologi Pembelajaran PAI, Psikologi Pendidikan",4 tahun (S1),S1,Ilmu Agama / Pendidikan,Unggul / A,"UIN Syarif Hidayatullah, UIN Sunan Kalijaga, UIN Maulana Malik Ibrahim",Rp 2.000.000 - Rp 5.500.000,"UIN Syarif Hidayatullah, UIN Sunan Kalijaga, UIN Maulana Malik Ibrahim, UIN Sunan Gunung Djati, Universitas Muhammadiyah Yogyakarta, UIN Sunan Ampel"
21,Pendidikan Bahasa Dan Sastra Indonesia,"Mempelajari bahasa, sastra, dan budaya Indonesia beserta teori, metode, dan teknik pengajaran bahasa untuk melahirkan pendidik yang kompeten.","Guru Bahasa Indonesia, Dosen, Penulis, Editor, Peneliti Bahasa/Sastra, Jurnalis","Linguistik Umum, Teori Belajar Bahasa, Sejarah Sastra Indonesia, Perencanaan Pembelajaran Bahasa & Sastra",4 tahun (S1),S1,Pendidikan / Sastra,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
22,Pendidikan Bahasa Inggris,"Mempelajari penguasaan kemampuan bahasa Inggris (listening, speaking, dsb) serta metodologi pengajaran bahasa Inggris sebagai bahasa asing.","Guru Bahasa Inggris, English Tutor, Translator/Interpreter, EdTech Content Creator, Liaison Officer","English Grammar, TEFL (Teaching English as a Foreign Language), Curriculum Development, Language Assessment",4 tahun (S1),S1,Pendidikan / Sastra,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
23,Pendidikan Bahasa Indonesia,"Fokus pada penguasaan tata bahasa Indonesia dan kemahiran berbahasa (menyimak, berbicara, membaca, menulis) khusus untuk pengajaran di sekolah.","Guru Bahasa Indonesia, Tentor Bimbel, Penyusun Buku Teks, Pengembang Bahan Ajar, Content Writer","Fonologi & Morfologi Bahasa Indonesia, Keterampilan Berbahasa, Metodologi Pembelajaran Bahasa Indonesia, Desain Pembelajaran",4 tahun (S1),S1,Pendidikan / Sastra,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
24,Pendidikan Bahasa Jepang,"Mempelajari struktur bahasa Jepang (Kanji, tatabahasa, percakapan), kebudayaan Jepang, serta cara mengajarkannya di lembaga pendidikan formal/informal.","Guru Bahasa Jepang, Penerjemah/Interpreter, Staf Perusahaan Jepang, Pemandu Wisata, EdTech Instructor","Nihongo (Struktur Bahasa), Choukai (Menyimak), Kaiwa (Berbicara), Metodologi Pengajaran Bahasa Jepang, Budaya Jepang",4 tahun (S1),S1,Pendidikan / Sastra,Unggul / A / B,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
25,Pendidikan Biologi,"Menggabungkan konsep ilmu biologi murni (makhluk hidup, ekologi, genetika) dengan ilmu pedagogi untuk mencetak guru sains biologi yang profesional.","Guru Biologi, Laboran, Edukator Kebun Binatang/Museum Sains, Peneliti Pendidikan, Pembuat Konten Edukasi Sains","Anatomi & Fisiologi Makhluk Hidup, Genetika, Ekologi, Strategi Pembelajaran Biologi, Media Pembelajaran Berbasis TIK",4 tahun (S1),S1,Pendidikan / Sains (MIPA),Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
26,Pendidikan Ekonomi,"Mempelajari konsep dasar ilmu ekonomi, akuntansi, dan manajemen serta strategi pedagogi untuk mengajarkannya di tingkat sekolah menengah.","Guru Ekonomi/Akuntansi, Wirausahawan, Analis Pendidikan, Staf Keuangan, Pengembang Media Ekonomi","Teori Ekonomi Makro & Mikro, Manajemen Bisnis, Metode Pembelajaran Ekonomi, Akuntansi Dasar, Evaluasi Pembelajaran",4 tahun (S1),S1,Pendidikan / Ekonomi,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
27,Pendidikan Fisika,"Mempelajari prinsip-prinsip dasar fisika (mekanika, termodinamika, kuantum) bersama dengan teori belajar untuk mengajar sains secara kreatif.","Guru Fisika, Pengembang Alat Peraga Sains, Tentor Olimpiade Sains, Laboran Fisika, Content Creator Sains","Fisika Dasar, Mekanika Analitik, Fisika Modern, Perencanaan Pembelajaran Fisika, Desain Eksperimen Fisika",4 tahun (S1),S1,Pendidikan / Sains (MIPA),Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
28,Pendidikan Geografi,"Mempelajari ilmu kebumian, fenomena geosfer, kartografi, serta kurikulum geografi sekolah untuk mempersiapkan tenaga pendidik bidang spasial/IPS.","Guru Geografi, Staf Pemetaan (SIG), Konsultan Lingkungan Hidup, Edukator Geopark, Peneliti Pendidikan Geografi","Geografi Fisik, Kartografi Dasar, Sistem Informasi Geografis (SIG) Pendidikan, Strategi Pembelajaran Geografi",4 tahun (S1),S1,Pendidikan / Soshum,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
29,Pendidikan Guru Pendidikan Anak Usia Dini,"Mempelajari perkembangan fisik, kognitif, motorik, dan sosial anak usia dini (0-6 tahun) serta metode pengajaran berbasis bermain yang edukatif.","Guru TK/PAUD, Pemilik/Pengelola Daycare, Konsultan Tumbuh Kembang, Pembuat Mainan Edukatif, Konsultan Parenting","Perkembangan Anak Usia Dini, Metode Bermain & Bercerita, Deteksi Dini Tumbuh Kembang, Manajemen PAUD, Kreativitas Seni PAUD",4 tahun (S1),S1,Pendidikan,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
30,Pendidikan Guru Sekolah Dasar,"Mempelajari semua mata pelajaran dasar (Matematika, IPA, IPS, Bahasa, PKn) tingkat SD beserta psikologi perkembangan anak usia sekolah dasar.","Guru Kelas SD/MI, Tutor Sekolah Dasar, Konsultan Pendidikan Dasar, Penulis Buku Anak, Pengembang Kurikulum SD","Pembelajaran Tematik Terpadu, Matematika SD, IPA SD, IPS SD, PKn SD, Strategi dan Evaluasi Pembelajaran SD",4 tahun (S1),S1,Pendidikan,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
31,Pendidikan Ilmu Pengetahuan Alam,"Mempelajari sains dasar (Fisika, Kimia, Biologi) secara terpadu beserta ilmu pedagogi untuk diajarkan pada jenjang pendidikan menengah.","Guru IPA Terpadu (SMP), Laboran Sekolah, Pengembang Alat Peraga Sains, Peneliti Pendidikan Sains, Edukator Museum Sains","Konsep Dasar IPA, Biologi Umum, Fisika Dasar, Kimia Dasar, Strategi Pembelajaran IPA Terpadu",4 tahun (S1),S1,Pendidikan / Sains (MIPA),Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
32,Pendidikan Ilmu Pengetahuan Sosial,"Mempelajari konsep ilmu sosial secara terintegrasi (Sejarah, Geografi, Ekonomi, Sosiologi) untuk pengajaran di tingkat sekolah menengah.","Guru IPS Terpadu (SMP), Fasilitator Sosial, Pengembang Kurikulum IPS, Peneliti Sosial, Edukator Masyarakat","Konsep Dasar IPS, Pengantar Sosiologi, Geografi Regional, Sejarah Indonesia, Metodologi Pembelajaran IPS",4 tahun (S1),S1,Pendidikan / Soshum,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
33,Pendidikan Keagamaan Islam,"Fokus pada kajian keilmuan agama Islam secara mendalam beserta metode pengajaran untuk mendidik di madrasah, pesantren, maupun instansi lainnya.","Guru Agama (Madrasah/Sekolah), Penyuluh Agama Islam, Pengasuh Pesantren, Peneliti Pendidikan Islam, Dai/Mubaligh","Ilmu Tafsir, Ilmu Hadis, Fiqih dan Ushul Fiqih, Metodologi Pengajaran Agama, Ilmu Akhlaq dan Tasawuf",4 tahun (S1),S1,Ilmu Agama / Pendidikan,Unggul / A / B,"UIN Syarif Hidayatullah, UIN Sunan Kalijaga, UIN Maulana Malik Ibrahim",Rp 2.000.000 - Rp 5.500.000,"UIN Syarif Hidayatullah, UIN Sunan Kalijaga, UIN Maulana Malik Ibrahim, UIN Sunan Gunung Djati, Universitas Muhammadiyah Yogyakarta, UIN Sunan Ampel"
34,Pendidikan Kimia,"Mempelajari ilmu kimia murni (organik, anorganik, fisik, analitik) yang dikombinasikan dengan ilmu kependidikan untuk mencetak guru kimia.","Guru Kimia (SMA/SMK), Laboran Kimia, Peneliti Pendidikan Kimia, Quality Control (QC) Junior, Pengembang Bahan Ajar","Kimia Dasar, Kimia Analitik, Kimia Organik, Desain Pembelajaran Kimia, Pengelolaan Laboratorium Sekolah",4 tahun (S1),S1,Pendidikan / Sains (MIPA),Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
35,Pendidikan Luar Biasa,"Mempelajari psikologi, asesmen, dan metode pengajaran khusus bagi anak-anak berkebutuhan khusus agar dapat mengembangkan potensinya secara maksimal.","Guru Sekolah Luar Biasa (SLB), Guru Inklusi, Konsultan Pendidikan Khusus, Terapis Edukasi, Pengembang Karir ABK","Ortodidaktik, Psikologi Anak Berkebutuhan Khusus, Huruf Braille & Bahasa Isyarat, Asesmen ABK, Manajemen Pendidikan Inklusi",4 tahun (S1),S1,Pendidikan / Psikologi,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
36,Pendidikan Matematika,Mempelajari teori dan konsep matematika dasar hingga tingkat lanjut beserta metodologi pengajaran yang efektif dan menyenangkan bagi siswa.,"Guru Matematika, Tentor Bimbel, Pengembang Media Pembelajaran Edukatif, Analis Data Junior, Peneliti Pendidikan","Kalkulus, Aljabar Linear, Geometri, Statistika Dasar, Strategi Belajar Mengajar Matematika",4 tahun (S1),S1,Pendidikan / Sains (MIPA),Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
